x, Wbudowana, Moja, Blad bezwzgledny, Blad wzgledny
-4.000000, -0.60808300964076555939, -0.60808300964076556850, 0.00000000000000000911, 0.00000000000000001498
-3.999000, -0.60868338144621025876, -0.60868338144621030045, 0.00000000000000004169, 0.00000000000000006849
-3.998000, -0.60928288602110203254, -0.60928288602110212990, 0.00000000000000009736, 0.00000000000000015980
-3.997000, -0.60988152332760803276, -0.60988152332760792504, 0.00000000000000010772, 0.00000000000000017662
-3.996000, -0.61047929333099815175, -0.61047929333099814660, 0.00000000000000000515, 0.00000000000000000844
-3.995000, -0.61107619599964091428, -0.61107619599964094805, 0.00000000000000003377, 0.00000000000000005527
-3.994000, -0.61167223130499615014, -0.61167223130499625666, 0.00000000000000010652, 0.00000000000000017415
-3.993000, -0.61226739922160999807, -0.61226739922160983284, 0.00000000000000016523, 0.00000000000000026987
-3.992000, -0.61286169972710735632, -0.61286169972710730899, 0.00000000000000004733, 0.00000000000000007722
-3.991000, -0.61345513280218821883, -0.61345513280218820696, 0.00000000000000001187, 0.00000000000000001935
-3.990000, -0.61404769843061979273, -0.61404769843061993563, 0.00000000000000014290, 0.00000000000000023271
-3.989000, -0.61463939659923183534, -0.61463939659923176958, 0.00000000000000006576, 0.00000000000000010698
-3.988000, -0.61523022729790877161, -0.61523022729790880316, 0.00000000000000003155, 0.00000000000000005128
-3.987000, -0.61582019051958591938, -0.61582019051958588810, 0.00000000000000003128, 0.00000000000000005079
-3.986000, -0.61640928626024149573, -0.61640928626024155140, 0.00000000000000005567, 0.00000000000000009032
-3.985000, -0.61699751451889195408, -0.61699751451889188746, 0.00000000000000006662, 0.00000000000000010798
-3.984000, -0.61758487529758454571, -0.61758487529758443598, 0.00000000000000010972, 0.00000000000000017766
-3.983000, -0.61817136860139199062, -0.61817136860139204103, 0.00000000000000005042, 0.00000000000000008156
-3.982000, -0.61875699443840659342, -0.61875699443840667918, 0.00000000000000008576, 0.00000000000000013860
-3.981000, -0.61934175281973335991, -0.61934175281973328397, 0.00000000000000007595, 0.00000000000000012263
-3.980000, -0.61992564375948355782, -0.61992564375948353722, 0.00000000000000002060, 0.00000000000000003323
-3.979000, -0.62050866727476960971, -0.62050866727476964809, 0.00000000000000003838, 0.00000000000000006185
-3.978000, -0.62109082338569798765, -0.62109082338569810967, 0.00000000000000012203, 0.00000000000000019647
-3.977000, -0.62167211211536355098, -0.62167211211536343535, 0.00000000000000011563, 0.00000000000000018600
-3.976000, -0.62225253348984188584, -0.62225253348984187917, 0.00000000000000000667, 0.00000000000000001072
-3.975000, -0.62283208753818508630, -0.62283208753818513449, 0.00000000000000004819, 0.00000000000000007738
-3.974000, -0.62341077429241387176, -0.62341077429241401178, 0.00000000000000014002, 0.00000000000000022461
-3.973000, -0.62398859378751225790, -0.62398859378751210097, 0.00000000000000015694, 0.00000000000000025151
-3.972000, -0.62456554606141945207, -0.62456554606141941299, 0.00000000000000003909, 0.00000000000000006258
-3.971000, -0.62514163115502596746, -0.62514163115502600210, 0.00000000000000003464, 0.00000000000000005541
-3.970000, -0.62571684911216551850, -0.62571684911216556788, 0.00000000000000004939, 0.00000000000000007893
-3.969000, -0.62629119997960913668, -0.62629119997960904144, 0.00000000000000009525, 0.00000000000000015208
-3.968000, -0.62686468380705828718, -0.62686468380705815106, 0.00000000000000013612, 0.00000000000000021715
-3.967000, -0.62743730064713898464, -0.62743730064713896990, 0.00000000000000001475, 0.00000000000000002350
-3.966000, -0.62800905055539535393, -0.62800905055539544365, 0.00000000000000008972, 0.00000000000000014286
-3.965000, -0.62857993359028296876, -0.62857993359028290203, 0.00000000000000006673, 0.00000000000000010616
-3.964000, -0.62914994981316152423, -0.62914994981316154976, 0.00000000000000002553, 0.00000000000000004058
-3.963000, -0.62971909928828995184, -0.62971909928828994073, 0.00000000000000001111, 0.00000000000000001765
-3.962000, -0.63028738208281831490, -0.63028738208281843069, 0.00000000000000011579, 0.00000000000000018371
-3.961000, -0.63085479826678270143, -0.63085479826678261909, 0.00000000000000008235, 0.00000000000000013053
-3.960000, -0.63142134791309678654, -0.63142134791309676345, 0.00000000000000002309, 0.00000000000000003657
-3.959000, -0.63198703109754716944, -0.63198703109754718180, 0.00000000000000001236, 0.00000000000000001956
-3.958000, -0.63255184789878560192, -0.63255184789878563878, 0.00000000000000003686, 0.00000000000000005828
-3.957000, -0.63311579839832288208, -0.63311579839832270530, 0.00000000000000017678, 0.00000000000000027922
-3.956000, -0.63367888268052108280, -0.63367888268052110969, 0.00000000000000002689, 0.00000000000000004243
-3.955000, -0.63424110083258899984, -0.63424110083258906695, 0.00000000000000006711, 0.00000000000000010581
-3.954000, -0.63480245294457349203, -0.63480245294457359156, 0.00000000000000009953, 0.00000000000000015679
-3.953000, -0.63536293910935393026, -0.63536293910935379001, 0.00000000000000014024, 0.00000000000000022073
-3.952000, -0.63592255942263420376, -0.63592255942263413969, 0.00000000000000006408, 0.00000000000000010076
